Date,Consumo não-cíclico,Bens Industriais,Comércio,Financeiro,Seguros,Exploração de imóveis,Mineração,Químicos,Alimentos processados,Energia Elétrica,"Petróleo, Gás e Biocombustíveis",Viagens e lazer,Construção civil,Educacionais,Saúde,Siderurgia e Metalurgia,Madeira e papel,Locação de veículos,Saneamento,Diversos,Telecomunicações
2020-02-04,50.78999900817871,30.61571420942034,46.15199947357178,32.25499963760376,37.8700008392334,36.34333292643229,45.43499946594238,33.400001525878906,23.653333346048992,32.43714264460972,39.02799987792969,37.20000076293945,26.999999046325684,34.44999933242798,59.310001373291016,13.637500047683716,29.924999237060547,55.0,62.939998626708984,39.099998474121094,38.954999923706055
2020-02-05,50.47666676839193,31.021428516932897,46.118000221252444,32.68750023841858,38.56500053405762,36.02333386739095,45.92500114440918,34.310001373291016,23.639999707539875,32.377142906188965,39.23400039672852,37.0,27.300000190734863,33.84000015258789,59.29999923706055,13.802500009536743,29.730000495910645,55.52000045776367,64.94999694824219,39.58000183105469,38.82499885559082
2020-02-06,49.386667251586914,30.72857121058873,44.81800079345703,32.32749927043915,38.72500038146973,35.20666631062826,46.10499954223633,31.75,23.360000292460125,31.65999984741211,39.16599960327149,36.52000045776367,27.050000190734863,32.75500011444092,58.76249980926514,13.59500002861023,30.08000087738037,53.84000015258789,63.79999923706055,39.119998931884766,38.41499996185303
2020-02-07,48.14666557312012,29.648571286882675,43.655999755859376,32.349999248981476,37.44499969482422,35.01666768391927,44.959999084472656,31.780000686645508,22.766667048136394,30.96285683768136,38.49400024414062,35.0,26.380000114440918,32.04499959945679,58.132500648498535,13.015000104904175,29.119999885559082,52.93000030517578,63.369998931884766,38.34000015258789,38.22500038146973
2020-02-10,47.666666666666664,29.67714282444545,42.5779993057251,32.6137501001358,34.41499900817871,34.25666745503744,43.54999923706055,31.389999389648438,22.22333335876465,30.324285643441335,38.46000022888184,32.88999938964844,25.295000076293945,31.6200008392334,57.27500057220459,12.700000047683716,28.765000343322754,52.31999969482422,61.33000183105469,38.27000045776367,37.71000003814697
2020-02-11,48.96999867757162,30.78714288984026,44.618000221252444,33.27250003814697,35.760000228881836,35.55333264668783,45.34499931335449,32.15999984741211,22.589999516805012,30.8585718699864,40.077999114990234,34.599998474121094,26.15999984741211,32.07499980926514,58.38250017166138,13.390000104904175,29.655000686645508,54.099998474121094,63.040000915527344,38.81999969482422,38.124999046325684
2020-02-12,50.94666735331217,31.407142911638534,45.160000228881835,33.29249972105026,35.42500114440918,36.056666692097984,46.03000068664551,31.860000610351562,22.613333066304524,31.231428146362305,40.54199905395508,33.7400016784668,26.635000228881836,32.86500072479248,59.05250072479248,13.53250002861023,30.97000026702881,55.47999954223633,63.939998626708984,38.70000076293945,38.890000343322754
2020-02-13,50.346665700276695,31.16285732814244,46.058000564575195,32.68250000476837,35.02000045776367,35.49666659037272,45.15999984741211,30.829999923706055,22.973333676656086,31.0628570829119,40.10599937438965,33.880001068115234,26.645000457763672,32.584999561309814,57.90750026702881,13.632500171661377,31.524999618530273,55.02000045776367,63.810001373291016,38.11000061035156,38.68000030517578
2020-02-14,50.93333307902018,31.04571451459612,45.04600028991699,32.3012501001358,34.56500053405762,35.510000228881836,44.26499938964844,30.93000030517578,22.77666664123535,31.127143587384904,39.67199935913086,33.099998474121094,26.229999542236328,32.605000019073486,58.05000066757202,13.182499885559082,30.535000801086426,55.0,64.44000244140625,38.45000076293945,37.654998779296875
2020-02-17,51.40666643778483,31.078571319580078,46.04600028991699,32.274999380111694,35.16499900817871,35.453334172566734,46.204999923706055,31.200000762939453,23.116666475931805,31.407143184116908,39.44999961853027,33.34000015258789,26.40999984741211,32.77999925613403,57.97749948501587,13.320000171661377,30.539999961853027,55.22999954223633,65.33000183105469,38.400001525878906,37.695000648498535
