Exploração, Refino e Distribuição
COSAN;CSAN;NM
DOMMO;DMMO
ENAUTA PART;ENAT;NM
PET MANGUINH;RPMG
PETROBRAS;PETR;N2
PETROBRAS BR;BRDT;NM
PETRORIO;PRIO;NM
ULTRAPAR;UGPA;NM
Equipamentos e Serviços
LUPATECH;LUPA;NM
OSX BRASIL;OSXB;NM
Minerais Metálicos
BRADESPAR;BRAP;N1
LITEL;LTEL;MB
LITELA;LTLA;MB
MMX MINER;MMXM;NM
VALE;VALE;NM
Siderurgia
FERBASA;FESA;N1
GERDAU;GGBR;N1
GERDAU MET;GOAU;N1
SID NACIONAL;CSNA
USIMINAS;USIM;N1
Artefatos de Ferro e Aço
MANGELS INDL;MGEL
PANATLANTICA;PATI
TEKNO;TKNO
Artefatos de Cobre
PARANAPANEMA;PMAM;NM
Petroquímicos
BRASKEM;BRKM;N1
ELEKEIROZ;ELEK
GPC PART;GPCP
Fertilizantes e Defensivos
FER HERINGER;FHER;NM
NUTRIPLANT;NUTR;MA
Químicos Diversos
CRISTAL;CRPG
UNIPAR;UNIP
Madeira
DURATEX;DTEX;NM
EUCATEX;EUCA;N1
Papel e Celulose
IRANI;RANI
KLABIN S/A;KLBN;N2
MELHOR SP;MSPA
SANTHER;STTZ
SUZANO HOLD;NEMO
SUZANO S.A.;SUZB;NM
Embalagens
METAL IGUACU;MTIG
Materiais Diversos
SANSUY;SNSY
Produtos para Construção
ETERNIT;ETER;NM
HAGA S/A;HAGA
PORTOBELLO;PTBL;NM
Construção Pesada
AZEVEDO;AZEV
Engenharia Consultiva
SONDOTECNICA;SOND
TECNOSOLO;TCNO
Serviços Diversos
MILLS;MILS;NM
Material Aeronáutico e de Defesa
EMBRAER;EMBR;NM
Material Rodoviário
FRAS-LE;FRAS;N1
MARCOPOLO;POMO;N2
RANDON PART;RAPT;N1
RECRUSUL;RCSL
RIOSULENSE;RSUL
TUPY;TUPY;NM
WETZEL S/A;MWET
Motores, Compressores e Outros
SCHULZ;SHUL
WEG;WEGE;NM
Máq. e Equip. Industriais
ACO ALTONA;EALT
BARDELLA;BDLL
INDS ROMI;ROMI;NM
INEPAR;INEP
KEPLER WEBER;KEPL
METALFRIO;FRIO;NM
NORDON MET;NORD
PRATICA;PTCA;M2
Máq. e Equip. Construção e Agrícolas
METISA;MTSA
STARA;STTR;MA
