Empresa;Código;Código Yahoo;Setor
M.DIASBRANCO;MDIA3;MDIA3.SA;Alimentos Diversos
AMBEV S/A;ABEV3;ABEV3.SA;Cervejas e Refrigerantes
GRUPO NATURA;NTCO3;NTCO3.SA;Produtos de Uso Pessoal
BOMBRIL;BOBR4;BOBR4.SA;Produtos de Limpeza
CARREFOUR BR;CRFB3;CRFB3.SA;Alimentos
P.ACUCAR-CBD;PCAR3;PCAR3.SA;Alimentos
CONST A LIND;CALI;CALI;Incorporações
CYRELA REALT;CYRE3;CYRE3.SA;Incorporações
DIRECIONAL;DIRR3;DIRR3.SA;Incorporações
EVEN;EVEN3;EVEN3.SA;Incorporações
EZTEC;EZTC3;EZTC3.SA;Incorporações
GAFISA;GFSA3;GFSA3.SA;Incorporações
HELBOR;HBOR3;HBOR3.SA;Incorporações
JHSF PART;JHSF3;JHSF3.SA;Incorporações
MITRE REALTY;MTRE3;MTRE3.SA;Incorporações
MOURA DUBEUX;MDNE3;MDNE3.SA;Incorporações
MRV;MRVE3;MRVE3.SA;Incorporações
PDG REALT;PDGR3;PDGR3.SA;Incorporações
RNI;RDNI3;RDNI3.SA;Incorporações
ROSSI RESID;RSID3;RSID3.SA;Incorporações
TECNISA;TCSA3;TCSA3.SA;Incorporações
TENDA;TEND3;TEND3.SA;Incorporações
TRISUL;TRIS3;TRIS3.SA;Incorporações
VIVER;VIVR3;VIVR3.SA;Incorporações
CEDRO;CEDO3;CEDO3.SA;Fios e Tecidos
COTEMINAS;CTNM3;CTNM3.SA;Fios e Tecidos
DOHLER;DOHL3;DOHL3.SA;Fios e Tecidos
PETTENATI;PTNT4;PTNT4.SA;Fios e Tecidos
SANTANENSE;CTSA3;CTSA3.SA;Fios e Tecidos
SPRINGS;SGPS3;SGPS3.SA;Fios e Tecidos
TEKA;TEKA4;TEKA4.SA;Fios e Tecidos
TEX RENAUX;TXRX3;TXRX3.SA;Fios e Tecidos
CIA HERING;HGTX3;HGTX3.SA;Vestuário
ALPARGATAS;ALPA3;ALPA3.SA;Calçados
CAMBUCI;CAMB3;CAMB3.SA;Calçados
GRENDENE;GRND3;GRND3.SA;Calçados
VULCABRAS;VULC3;VULC3.SA;Calçados
MUNDIAL;MNDL3;MNDL3.SA;Acessórios
TECHNOS;TECN3;TECN3.SA;Acessórios
VIVARA S.A.;VIVA3;VIVA3.SA;Acessórios
WHIRLPOOL;WHRL3;WHRL3.SA;Eletrodomésticos
HERCULES;HETA4;HETA4.SA;Utensílios Domésticos
IOCHP-MAXION;MYPK3;MYPK3.SA;Automóveis e Motocicletas
METAL LEVE;LEVE3;LEVE3.SA;Automóveis e Motocicletas
PLASCAR PART;PLAS3;PLAS3.SA;Automóveis e Motocicletas
HOTEIS OTHON;HOOT4;HOOT4.SA;Hotelaria
BK BRASIL;BKBR3;BKBR3.SA;Restaurante e Similares
IMC S/A;MEAL3;MEAL3.SA;Restaurante e Similares
BIC MONARK;BMKS3;BMKS3.SA;Bicicletas
ESTRELA;ESTR4;ESTR4.SA;Brinquedos e Jogos
SPTURIS;AHEB3;AHEB3.SA;Produção de Eventos e Shows
