Date,Consumo não-cíclico,Bens Industriais,Comércio,Financeiro,Seguros,Exploração de imóveis,Mineração,Químicos,Alimentos processados,Energia Elétrica,"Petróleo, Gás e Biocombustíveis",Viagens e lazer,Construção civil,Educacionais,Saúde,Siderurgia e Metalurgia,Madeira e papel,Locação de veículos,Saneamento,Diversos,Telecomunicações
2020-02-10,-3.6258219407715315,48.417513547990154,64.5536695944483,6.547543348084763,22.72071182126497,27.174856863587898,5.986855865995229,-35.023807705783014,66.383831738051,34.04878400903784,37.77045511500193,-46.17021242057969,77.44650910713806,85.45454830209337,88.34265179397828,22.913138844689442,4.771449362358149,77.95918494450557,78.44051130929583,-12.022987453416846,27.11950138762587
2020-02-11,-0.9906984871509814,53.968703253769476,72.43777974757428,8.699647517654057,27.51686210346987,31.98861203590797,10.355315514640166,-33.42993389937617,69.12902389075589,36.41060119488253,43.56641043450612,-43.371523178063704,83.51455375234212,88.1231639322503,91.9845445803345,29.59109731063842,8.013118918762888,84.01360263971864,83.41577793022755,-10.758621391208692,28.518453043490926
2020-02-12,3.0058012104697096,57.069367700456105,74.53247869139345,8.764985513883977,26.322286270526035,33.85719529093777,12.022391130963504,-34.05092174564522,69.30371979758064,38.05881579904545,45.22853946165352,-44.77904661035732,86.84672055456144,92.75660033512283,94.1877690171647,30.970240054109077,12.802773370466483,88.70748388468793,86.03433405228411,-11.03448100473689,31.097253980557515
2020-02-13,1.7926963262989581,55.847678027950124,78.00303280255196,6.772145959606729,24.878091181593266,31.778244299164264,9.905085616233286,-36.18298686128597,71.99900767412716,37.313645860325906,43.66671226648318,-44.54991503401573,86.91687298389537,91.114364790546,90.42255870959492,31.938061425855942,14.824260794695743,87.14286112808514,85.65610519730043,-12.39080319459411,30.389348912574988
2020-02-14,2.97884149596117,55.26183844024428,74.09189649880352,5.5266209704359,23.255603425526253,31.82774425624834,7.726938976077327,-35.975989596481476,70.52658162527074,37.59782494550286,42.11204821899783,-45.826515056067315,84.00560737747192,91.23166952685058,90.89115588204153,27.582868714189047,11.218364402113568,87.07483235929881,87.48910225198114,-11.60919364841505,26.934093469470383
2020-02-17,3.935843874960266,55.42615767163718,77.9566546433301,5.440861138429474,25.395142636854278,31.61737651950466,12.44828365082402,-35.41709816595267,73.07212573307169,38.83556574198108,41.31680627630571,-45.433713608505165,85.26832434506726,92.2580580025272,90.65274357572281,28.91362396563948,11.236572965049806,87.85714373760021,90.07856811554504,-11.724134423266882,27.06893880657842
2020-02-18,3.275376502928087,54.21161391321192,77.26872595394426,5.351021612679512,24.147080364056027,32.09998457905924,11.267946321667267,-35.10660424281814,74.71924768875286,41.090023440220044,40.134691500023386,-46.79214544448342,84.77727741004135,92.40468612620909,87.86583345345078,28.84103811268383,11.254781527986044,88.0952379407719,89.49665195653354,-13.93103763974946,26.22619161630099
2020-02-19,3.861706909596927,59.02692981463474,78.3122072621035,7.013082924142057,25.96568733339899,33.25083497838514,11.69384348340811,-33.96812520861008,78.96181802839337,42.86454119834291,41.85413254110724,-46.644845682068514,89.37214110954437,95.1906120860683,89.6415634221839,30.22018085615448,11.801128729433781,87.24489779368417,93.39541252949954,-13.54022848195043,26.96780400004411
2020-02-20,-0.6739420874918594,56.05486593040815,74.57112347169107,5.83289924153448,20.937757944205426,32.2361047404647,10.124117381270217,-34.630513297468916,75.29324444542712,39.309189319906004,38.408084578271854,-47.51227414775228,90.14380445200992,93.69501305526987,86.26274174230669,24.84878158818317,11.582591238291002,86.12245554661206,89.40937008213974,-14.275859964304956,24.91151307205711
2020-02-21,-2.304889767604446,55.90483307644132,78.35858984419005,4.326016425679268,16.819138841112625,33.176587403046895,6.899491314902654,-36.6590778066352,75.51784700843108,39.71966553657706,36.215788334533855,-49.45990191170655,90.66993429180667,96.62756434211211,88.51528848353985,22.13888359326208,15.53451285129596,85.03402119635265,91.067792289117,-14.367816091954023,24.574410981133003
